CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
41373	100930	17	0.682	-299.383
6260	101259	17	0.6872	-317.346
6260	107066	17	0.6907	-425.500
34760	90872	17	0.7069	-61.364
17470	21671	17	0.7079	-66.949
13671	78488	17	0.721	-454.431
15481	34855	17	0.7318	-82.114
93615	105983	17	0.6818	-5.042
16987	57610	17	0.6924	-76.104
21214	95928	17	0.7673	-324.452
15481	104298	17	0.7243	-450.610
49554	94125	17	0.7744	-169.278
3416	16987	17	0.7054	-97.133
99459	103201	17	0.6857	-30.063
48604	54409	20	0.5036	-84.147
22539	34447	22	0.7019	-15.992
16699	22539	22	0.679	16.007
22539	39649	22	0.6934	0.001
25836	34447	22	0.6609	-15.994
25836	39649	22	0.6774	0.000
22539	25836	22	0.7275	0.001
22539	27935	22	0.7346	0.001
27935	39649	22	0.6669	0.000
25836	61926	22	0.6746	-50.015
27935	34447	22	0.6744	-15.994
25836	27935	22	0.7228	-0.000
91356	106786	23	0.9509	-112.088
66442	93325	23	0.9407	-25.021
87557	89484	23	0.9431	-14.016
87598	92996	23	0.9345	-42.047
82756	87557	23	0.944	-28.068
43906	64543	23	0.924	-59.153
80546	85944	23	0.9483	44.003
82310	91356	23	0.9722	-56.063
65849	89448	23	0.9306	-70.337
74950	78155	23	0.9582	-0.060
90406	93284	23	0.9466	-28.031
89448	92996	23	0.9434	-28.031
83536	108170	23	0.936	-56.177
90038	90406	23	0.9318	56.063
85361	87557	23	0.9345	-10.021
85143	89484	23	0.9738	-28.031
75883	108170	23	0.9212	9.971
85361	85510	23	0.9604	-27.995
92971	92996	23	0.9213	15.019
85243	90933	23	0.9307	42.047
86413	89448	23	0.9408	-2.016
63587	88239	23	0.9299	10.991
82310	85944	23	0.9562	-13.999
84587	89484	23	0.9215	69.967
87598	89448	23	0.9889	-14.016
72075	82477	23	0.9499	-59.062
92996	93325	23	0.9663	14.051
87557	91356	23	0.9698	-28.031
89484	108170	23	0.9749	-126.103
82310	89484	23	0.9447	-42.047
86123	89448	23	0.9311	-15.030
90172	93325	23	0.9951	-3.959
85143	93228	23	0.923	-145.111
85361	98012	23	0.9429	-125.129
90172	92615	23	0.9478	-3.995
85510	87557	23	0.9597	17.974
85243	87598	23	0.923	-16.031
82310	85510	23	0.9956	-46.005
69436	81727	23	0.9299	-82.193
80546	98012	23	0.9438	-85.137
92615	92971	23	0.9344	-29.034
65849	87598	23	0.9219	-56.321
85944	90457	23	0.9367	-44.004
85886	93284	23	0.9447	-32.028
72075	85641	23	0.9301	-72.036
62040	88239	23	0.9402	-7.064
82756	85361	23	0.967	-18.047
84587	87557	23	0.9416	83.983
85143	108170	23	0.9587	-154.135
75883	93228	23	0.9522	18.995
80546	93325	23	0.944	-16.036
69436	88239	23	0.9459	-68.177
83536	83859	23	0.927	27.954
88844	90457	23	0.9465	-14.015
79140	85143	23	0.9503	-42.047
70639	88239	23	0.947	-42.992
87598	93325	23	0.9548	-27.996
73673	85361	23	0.9444	-30.047
80546	91356	23	0.9372	1.939
83536	93228	23	0.9243	-47.153
82756	106786	23	0.9247	-168.187
73673	98012	23	0.9394	-155.176
92615	93325	23	0.945	0.035
89484	91356	23	0.9742	-14.016
84587	85510	23	0.9429	66.009
79140	87557	23	0.9408	-56.063
82310	90457	23	0.9475	-58.003
85143	87557	23	0.95	-14.016
82310	84587	23	0.9378	-112.014
87557	106786	23	0.9411	-140.119
65101	88239	23	0.9267	-112.125
85641	85944	23	0.9343	15.973
89484	93228	23	0.9225	-117.079
90172	92996	23	0.9711	-18.011
72075	90457	23	0.9297	-100.067
82756	91356	23	0.9381	-56.099
80546	85361	23	0.9479	39.991
69436	72075	23	0.9368	29.874
63587	80546	23	0.937	8.977
86413	90259	23	0.93	-43.968
85361	106786	23	0.9387	-150.140
85510	106786	23	0.9731	-122.145
63587	85510	23	0.9416	20.973
91356	108170	23	0.9577	-112.088
87598	90172	23	0.956	-24.036
43906	67254	23	0.9485	-91.146
79140	108170	23	0.9249	-196.182
88239	91516	23	0.9301	-75.112
70499	80546	23	0.9486	-29.079
90172	92971	23	0.941	-33.029
83536	93284	23	0.9224	7.926
69436	90485	23	0.9436	-68.177
75883	93284	23	0.9313	74.073
90038	93284	23	0.9499	28.031
82310	87557	23	0.9651	-28.031
85510	88844	23	0.9427	2.018
43906	69436	23	0.9468	-58.000
80546	90457	23	0.9401	-0.001
66442	90172	23	0.932	-21.062
88239	90485	23	0.9433	0.000
90172	97873	23	0.9447	-46.042
89448	92971	23	0.9361	-43.050
85510	90457	23	0.9587	-11.997
89448	92615	23	0.9558	-14.016
84587	106786	23	0.9244	-56.137
52628	98471	23	0.9209	-203.263
82477	85944	23	0.9269	2.999
72075	85944	23	0.9408	-56.063
69358	73673	23	0.9247	-28.031
82310	106786	23	0.9712	-168.151
84587	91356	23	0.9578	55.952
89448	93325	23	0.9607	-13.980
89448	90172	23	0.9636	-10.021
70639	81727	23	0.9255	-57.008
82310	85361	23	0.9606	-18.010
65849	86413	23	0.9284	-68.321
93325	97873	23	0.9389	-42.083
70639	72075	23	0.9414	55.059
93228	93284	23	0.9337	55.079
80546	82310	23	0.9536	58.002
92971	93325	23	0.9329	29.070
85243	86413	23	0.9278	-28.031
65101	70639	23	0.9235	-69.133
72075	88239	23	0.9466	-98.052
85361	85944	23	0.9502	4.012
